Error	Name
0.36789	UCCSD
0.58998	UCCSD
0.94747	UCCSD
0.92762	UCCSD
-0.2177	UCCSD
0.17852	UCCSD
2.5046	UCCSD
1.76566	UCCSD
1.67565	UCCSD
1.08839	UCCSD
0.37021	UCCSD
0.39845	UCCSD
1.76378	UCCSD
1.32532	UCCSD
0.51378	UCCSD
0.34261	UCCSD
1.56076	UCCSD
0.16512	UCCSD
0.04259	UCCSD
0.29535	UCCSD
0.72998	UCCSD
0.77422	UCCSD
0.44057	UCCSD
0.28399	UCCSD
0.7273	UCCSD
0.38933	UCCSD
0.77858	UCCSD
0.94842	UCCSD
0.88606	UCCSD
1.22223	UCCSD
0.36422	UCCSD
0.76834	UCCSD
0.36509	UCCSD
1.26982	UCCSD
0.85653	UCCSD
-0.16688	UCCSD
1.01098	UCCSD
1.22154	UCCSD
-0.63727	UCCSD
0.18648	UCCSD
0.73217	UCCSD
1.28921	UCCSD
0.14162	UCCSD
0.66601	UCCSD
0.61967	UCCSD
0.29451	UCCSD
0.14793	UCCSD
0.76133	UCCSD
-0.01094	UCCSD
1.1984	UCCSD
0.21624	UCCSD
0.55051	UCCSD
-0.01139	UCCSD
0.13698	UCCSD
1.89145	UCCSD
0.91969	UCCSD
1.06433	UCCSD
1.29568	UCCSD
-0.06202	UCCSD
1.04552	UCCSD
0.55271	UCCSD
1.24258	UCCSD
1.26252	UCCSD
0.34448	UCCSD
1.41672	UCCSD
0.27715	UCCSD
0.24461	UCCSD
0.66119	UCCSD
1.07917	UCCSD
0.72743	UCCSD
1.3899	UCCSD
0.91856	UCCSD
1.40161	UCCSD
0.94325	UCCSD
0.7216	UCCSD
1.75174	UCCSD
2.72465	UCCSD
1.57821	UCCSD
2.31413	UCCSD
1.07352	UCCSD
0.76018	UCCSD
1.50222	UCCSD
-0.07863	UCCSD
1.14658	UCCSD
0.85048	UCCSD
-0.30533	UCCSD
1.03675	UCCSD
0.89396	UCCSD
1.0144	UCCSD
0.41806	UCCSD
0.4802	UCCSD
0.36034	UCCSD
1.02421	UCCSD
0.38449	UCCSD
1.32655	UCCSD
0.87028	UCCSD
1.07159	UCCSD
1.6212	UCCSD
0.90038	UCCSD
0.11249	UCCSD
-0.32565	UCCSD
2.74728	UCCSD
-0.66272	UCCSD
0.70807	UCCSD
1.69286	UCCSD
1.66475	UCCSD
-1.15114	UCCSD
1.37265	UCCSD
-0.0356	UCCSD
2.0808	UCCSD
0.28835	UCCSD
0.37766	UCCSD
0.25131	UCCSD
0.47366	UCCSD
0.45691	UCCSD
0.62779	UCCSD
0.72851	UCCSD
1.11238	UCCSD
0.61197	UCCSD
1.6898	UCCSD
-0.24606	UCCSD
-0.36354	UCCSD
-0.44584	UCCSD
0.33341	UCCSD
1.38739	UCCSD
-0.31163	UCCSD
0.09849	UCCSD
1.2596	UCCSD
2.01394	UCCSD
0.24117	UCCSD
-0.64034	UCCSD
1.03637	UCCSD
0.61298	UCCSD
1.45307	UCCSD
0.24031	UCCSD
0.326	UCCSD
0.3031	UCCSD
-0.35281	UCCSD
0.68596	UCCSD
0.84327	UCCSD
1.04019	UCCSD
0.75459	UCCSD
-0.5157	UCCSD
0.80587	UCCSD
0.73486	UCCSD
0.0414	UCCSD
0.77262	UCCSD
0.00627	UCCSD
1.38931	UCCSD
-0.03916	UCCSD
0.51826	UCCSD
1.15905	UCCSD
0.38808	UCCSD
1.37407	UCCSD
0.80401	UCCSD
2.11448	UCCSD
0.8512	UCCSD
1.30507	UCCSD
-0.00133	UCCSD
0.42794	UCCSD
0.84014	UCCSD
0.6624	UCCSD
0.60631	UCCSD
1.02473	UCCSD
-0.16158	UCCSD
0.94989	UCCSD
0.93716	UCCSD
1.53429	UCCSD
0.74012	UCCSD
1.25318	UCCSD
0.61393	UCCSD
1.03879	UCCSD
0.40614	UCCSD
0.8648	UCCSD
1.27407	UCCSD
0.64573	UCCSD
2.01947	UCCSD
1.03857	UCCSD
0.43685	UCCSD
0.46324	UCCSD
0.71379	UCCSD
1.17098	UCCSD
0.58131	UCCSD
1.05025	UCCSD
-0.09978	UCCSD
0.66823	UCCSD
0.35397	UCCSD
0.25139	UCCSD
1.08779	UCCSD
0.80797	UCCSD
1.42678	UCCSD
-0.12273	UCCSD
0.38997	UCCSD
1.24831	UCCSD
0.41693	UCCSD
0.86222	UCCSD
0.99241	UCCSD
-1.493	UCCSD
1.83529	UCCSD
0.66815	UCCSD
0.90296	UCCSD
1.49902	UCCSD
1.17175	UCCSD
0.35978	UCCSD
0.50468	UCCSD
0.78962	UCCSD
1.76802	UCCSD
-0.03949	UCCSD
0.36811	UCCSD
0.6838	UCCSD
0.78965	UCCSD
0.50306	UCCSD
0.69795	UCCSD
1.61792	UCCSD
2.46716	UCCSD
2.05005	UCCSD
-0.22056	UCCSD
1.89463	UCCSD
1.26056	UCCSD
1.07484	UCCSD
0.76419	UCCSD
1.1271	UCCSD
0.72539	UCCSD
-0.40369	UCCSD
-0.15418	UCCSD
2.21228	UCCSD
0.31307	UCCSD
-0.14397	UCCSD
0.94392	UCCSD
1.20577	UCCSD
0.02721	UCCSD
0.2336	UCCSD
0.91029	UCCSD
1.03947	UCCSD
0.53909	UCCSD
0.40758	UCCSD
0.1435	UCCSD
1.13923	UCCSD
0.70491	UCCSD
1.02265	UCCSD
1.85987	UCCSD
0.83849	UCCSD
1.18219	UCCSD
1.07028	UCCSD
-1.69672	UCCSD
1.38101	UCCSD
0.91762	UCCSD
0.86189	UCCSD
0.87208	UCCSD
0.90716	UCCSD
0.63196	UCCSD
0.72051	UCCSD
0.22293	UCCSD
-0.03707	UCCSD
0.14714	UCCSD
0.72074	UCCSD
0.39789	UCCSD
0.87564	UCCSD
1.15225	UCCSD
0.77068	UCCSD
0.78721	UCCSD
0.78814	UCCSD
1.72596	UCCSD
1.54978	UCCSD
0.52178	UCCSD
1.87632	UCCSD
0.99408	UCCSD
1.78691	UCCSD
-0.88165	UCCSD
2.20132	UCCSD
0.60177	UCCSD
0.40314	UCCSD
1.93922	UCCSD
0.29425	UCCSD
0.91122	UCCSD
0.63781	UCCSD
1.02942	UCCSD
0.32657	UCCSD
0.99438	UCCSD
-0.62241	UCCSD
0.72286	UCCSD
0.09553	UCCSD
-0.29665	UCCSD
0.66218	UCCSD
1.47622	UCCSD
1.67724	UCCSD
1.18397	UCCSD
0.84545	UCCSD
-0.43455	UCCSD
1.15171	UCCSD
2.10731	UCCSD
1.65317	UCCSD
-0.13541	UCCSD
0.84222	UCCSD
0.50578	UCCSD
1.47606	UCCSD
0.73615	UCCSD
-0.06293	UCCSD
-0.05772	UCCSD
0.61491	UCCSD
0.60756	UCCSD
1.55053	UCCSD
-0.00979	UCCSD
0.21849	UCCSD
0.8764	UCCSD
0.91448	UCCSD
0.90926	UCCSD
1.39944	UCCSD
-0.55938	UCCSD
1.18583	UCCSD
1.34607	UCCSD
-1.51748	UCCSD
0.87808	UCCSD
-0.5294	UCCSD
1.44266	UCCSD
1.18827	UCCSD
1.17684	UCCSD
1.61137	UCCSD
0.13076	UCCSD
0.47068	UCCSD
0.2727	UCCSD
0.96357	UCCSD
0.81843	UCCSD
0.48985	UCCSD
-0.51392	UCCSD
0.3147	UCCSD
0.79914	UCCSD
1.22272	UCCSD
0.95979	UCCSD
1.85176	UCCSD
-3.40062	UCCSD
1.73588	UCCSD
0.82241	UCCSD
0.40949	UCCSD
1.63328	UCCSD
1.17369	UCCSD
0.5955	UCCSD
-0.11403	UCCSD
-0.34991	UCCSD
1.22545	UCCSD
1.30756	UCCSD
1.06309	UCCSD
0.37746	UCCSD
0.53595	UCCSD
0.92295	UCCSD
0.85905	UCCSD
0.7129	UCCSD
0.66183	UCCSD
0.14929	UCCSD
1.49908	UCCSD
1.36873	UCCSD
0.19898	UCCSD
0.86339	UCCSD
-1.85242	UCCSD
-0.93625	UCCSD
1.24016	UCCSD
0.62038	UCCSD
0.73066	UCCSD
1.33592	UCCSD
0.70521	UCCSD
-0.08754	UCCSD
1.34582	UCCSD
0.45625	UCCSD
0.98721	UCCSD
-0.17393	UCCSD
0.89722	UCCSD
0.85273	UCCSD
0.80305	UCCSD
0.35575	UCCSD
0.55653	UCCSD
-0.06311	UCCSD
0.25111	UCCSD
1.66367	UCCSD
0.82427	UCCSD
-0.26162	UCCSD
-0.74433	UCCSD
0.24763	UCCSD
1.03749	UCCSD
1.07739	UCCSD
0.90365	UCCSD
0.07411	UCCSD
2.13334	UCCSD
-1.22735	UCCSD
-0.49373	UCCSD
0.1852	UCCSD
0.58058	UCCSD
0.13058	UCCSD
1.21353	UCCSD
1.13755	UCCSD
0.17889	UCCSD
0.85998	UCCSD
0.43847	UCCSD
0.52315	UCCSD
1.30066	UCCSD
0.64087	UCCSD
0.56954	UCCSD
0.92032	UCCSD
1.7883	UCCSD
0.93393	UCCSD
0.85397	UCCSD
1.31886	UCCSD
1.92844	UCCSD
0.72272	UCCSD
1.28536	UCCSD
1.57896	UCCSD
0.57001	UCCSD
0.19932	UCCSD
0.34151	UCCSD
0.62246	UCCSD
0.32598	UCCSD
0.44606	UCCSD
0.42454	UCCSD
1.1826	UCCSD
0.70021	UCCSD
0.68047	UCCSD
0.093	UCCSD
0.35065	UCCSD
1.23625	UCCSD
-0.28532	UCCSD
0.63355	UCCSD
0.95818	UCCSD
2.09176	UCCSD
2.13741	UCCSD
0.7072	UCCSD
1.63762	UCCSD
0.8828	UCCSD
0.82435	UCCSD
1.31432	UCCSD
1.35714	UCCSD
2.17009	UCCSD
1.09861	UCCSD
1.49964	UCCSD
-0.23637	UCCSD
0.77061	UCCSD
0.82866	UCCSD
-0.18013	UCCSD
0.71888	UCCSD
0.40897	UCCSD
0.61649	UCCSD
0.70499	UCCSD
0.324	UCCSD
0.09177	UCCSD
0.18729	UCCSD
1.71715	UCCSD
1.33329	UCCSD
0.62531	UCCSD
2.21517	UCCSD
1.27046	UCCSD
0.83684	UCCSD
0.8371	UCCSD
2.34598	UCCSD
2.01158	UCCSD
1.409	UCCSD
-0.42754	UCCSD
0.77309	UCCSD
0.97005	UCCSD
0.62589	UCCSD
0.4963	UCCSD
0.61815	UCCSD
0.67915	UCCSD
0.8062	UCCSD
0.37497	UCCSD
0.88281	UCCSD
0.92367	UCCSD
1.80636	UCCSD
0.8184	UCCSD
0.5711	UCCSD
1.14649	UCCSD
-0.48743	UCCSD
-0.45717	UCCSD
1.12784	UCCSD
1.22484	UCCSD
1.16246	UCCSD
0.99086	UCCSD
1.27717	UCCSD
-0.78867	UCCSD
1.30145	UCCSD
0.85138	UCCSD
-0.08039	UCCSD
1.24694	UCCSD
0.63905	UCCSD
0.13599	UCCSD
0.53407	UCCSD
0.6373	UCCSD
0.76337	UCCSD
0.64219	UCCSD
1.12469	UCCSD
-0.24957	UCCSD
1.25294	UCCSD
1.11857	UCCSD
-0.67566	UCCSD
1.16515	UCCSD
-0.86269	UCCSD
0.93892	UCCSD
1.71146	UCCSD
0.73752	UCCSD
0.5718	UCCSD
-1.17796	UCCSD
0.74471	UCCSD
1.64271	UCCSD
1.06053	UCCSD
1.17645	UCCSD
0.47898	UCCSD
-0.02301	UCCSD
0.56558	UCCSD
0.42752	UCCSD
0.63638	UCCSD
0.94841	UCCSD
1.03817	UCCSD
1.37376	UCCSD
0.99426	UCCSD
1.49407	UCCSD
0.27029	UCCSD
-0.62488	UCCSD
1.85593	UCCSD
1.55022	UCCSD
1.31133	UCCSD
0.78517	UCCSD
