	IRC	HF/STO-3G	FCI/STO-3G	Active UCCSD/STO-3G	Active 5-UpCCGSD/STO-3G	Active UCCSD/STO-3G+noise	Active UCCSD/STO-3G+noise_Up	Active UCCSD/STO-3G+noise_Down	Active 5-UpCCGSD/STO-3G+noise	Active 5-UpCCGSD/STO-3G+noise_Up	Active 5-UpCCGSD/STO-3G+noise_Down
step01	-3.91979	0	0	0	0	0	0.000766526	0.000520854	0	7.43881E-05	0.000291822
step02	-3.55807	5.78998E-05	0.000153879	4.783E-05	6.104E-05	-2.65125E-05	0.000529768	0.000808252	6.29416E-05	0.000133517	0.000293733
step03	-3.20509	0.000428082	0.000431543	0.00039703	0.00042725	0.000167928	0.001252228	0.000812222	0.000324247	0.000177381	0.000310899
step04	-2.89381	0.001751869	0.001184292	0.00167289	0.00164795	0.001531072	0.001272794	0.000964106	0.001605987	0.000177381	0.000188829
step05	-2.53697	0.005046593	0.003407517	0.00484391	0.00482178	0.004674539	0.001281817	0.001128423	0.004690172	0.000389096	0.000282294
step06	-2.17467	0.010110674	0.007264779	0.00965474	0.00964356	0.009331444	0.001077922	0.001011418	0.009344101	0.000434877	0.000480653
step07	-1.81223	0.016039767	0.012001592	0.01510645	0.01513672	0.014807716	0.001887009	0.001697861	0.014701846	0.000936502	0.000650408
step08	-1.4498	0.022186058	0.017180368	0.02042819	0.02044678	0.020316939	0.001463007	0.002104833	0.020002364	0.001068114	0.000823976
step09	-1.08733	0.02775221	0.02181445	0.02475007	0.02478028	0.024431229	0.004228027	0.001310003	0.024047852	0.001783366	0.001207354
step10	-0.7249	0.032192975	0.025557356	0.02763494	0.02758789	0.027170028	0.001909727	0.001773803	0.026498795	0.000553133	0.000667577
step11	-0.36249	0.035101457	0.028121302	0.02909691	0.02911377	0.028490508	0.001777688	0.001472782	0.027612686	0.001087192	0.000743868
step12_TS	0	0.036110157	0.029074024	0.02949518	0.02947998	0.029121419	0.000921487	0.001565093	0.028551102	0.002040866	0.001499174
step13	0.36249	0.035089101	0.028110839	0.02909196	0.02905274	0.02869843	0.002419576	0.000974224	0.02753067	0.001657488	0.001455302
step14	0.7249	0.032167482	0.025533849	0.02762177	0.02770996	0.027118748	0.002504588	0.001334392	0.026456834	0.001144404	0.000625616
step15	1.08733	0.027713861	0.021778782	0.02472254	0.02471924	0.024445441	0.002482385	0.002079815	0.0239048	0.000949858	0.000820162
step16	1.44979	0.022143844	0.017143364	0.02039076	0.02038575	0.020205547	0.001869909	0.001716001	0.019987106	0.001266482	0.000808718
step17	1.81222	0.015999012	0.011968254	0.01506976	0.01507569	0.014872863	0.001133003	0.001495857	0.014690401	0.000947948	0.000394822
step18	2.17467	0.010075394	0.007237416	0.00962026	0.00970459	0.009193391	0.001089615	0.001179045	0.00934601	0.000738138	0.000665662
step19	2.53696	0.005019059	0.003386918	0.00481746	0.00482178	0.004584856	0.00139266	0.00147111	0.004625322	0.000331876	0.000339514
step20	2.8937	0.001738593	0.001174907	0.00166008	0.00164795	0.001456482	0.000886094	0.001227056	0.001523972	0.000259397	0.000228883
step21	3.20499	0.000424963	0.000428762	0.00039621	0.00042725	0.000392266	0.00065648	0.00065847	0.000356673	0.000205995	0.000282285
step22	3.55818	5.78876E-05	0.000152241	4.779E-05	6.104E-05	1.70297E-05	0.000719566	0.000643164	-2.86109E-05	0.000102999	0.000202181
step23	3.91991	1.08961E-07	-4.55997E-07	1.04E-06	0	-6.44406E-05	0.000926+I3:I25026250112955	0.001194804	1.335E-05	0.000122068	0.000244142
