	IRC	HF/STO-3G	FCI/STO-3G	Active 1-UpCCGSD/STO-3G	Active 1-UpCCGSD/STO-3G_Up	Active 1-UpCCGSD/STO-3G_Down	Active 5-UpCCGSD/STO-3G	Active 5-UpCCGSD/STO-3G_Up	Active 5-UpCCGSD/STO-3G_Down
step01	-3.91979	0	0	0	0	0	0	0	0
step02	-3.55807	5.78998E-05	0.000153879	6.10352E-05	0.000813802	0.000834147	6.10352E-05	0.000406901	0.000569661
step03	-3.20509	0.000428082	0.000431543	0.000488281	0.000834147	0.000630697	0.000427246	0.000366211	0.000671387
step04	-2.89381	0.001751869	0.001184292	0.001708984	0.000935872	0.000651042	0.001647949	0.000427246	0.000427246
step05	-2.53697	0.005046593	0.003407517	0.004821777	0.000386556	0.000590007	0.004821777	0.000976563	0.000671387
step06	-2.17467	0.010110674	0.007264779	0.009765625	0.000956217	0.000752767	0.009643555	0.000305176	0.000366211
step07	-1.81223	0.016039767	0.012001592	0.015136719	0.000406901	0.000386556	0.015136719	0.000183105	0.000305176
step08	-1.4498	0.022186058	0.017180368	0.020446777	0.000834147	0.001118978	0.020446777	0.000467936	0.000569661
step09	-1.08733	0.02775221	0.02181445	0.024780273	0.000467936	0.000386556	0.024780273	0.000610352	0.001159668
step10	-0.7249	0.032192975	0.025557356	0.027648926	0.000345866	0.000264486	0.027587891	0.000142415	0.000101725
step11	-0.36249	0.035101457	0.028121302	0.02911377	0.000345866	0.000264486	0.02911377	0.000447591	0.000223796
step12_TS	0	0.036110157	0.029074024	0.029541016	0.000386556	0.000651042	0.02947998	0.000630697	0.000956217
step13	0.36249	0.035089101	0.028110839	0.02911377	0.000427246	0.000366211	0.029052734	0.000345866	0.000508626
step14	0.7249	0.032167482	0.025533849	0.027587891	0.001078288	0.000569661	0.027709961	0.000406901	0.000447591
step15	1.08733	0.027713861	0.021778782	0.024719238	0.000528971	0.000630697	0.024719238	0.000284831	0.000325521
step16	1.44979	0.022143844	0.017143364	0.020446777	0.000752767	0.000528971	0.020385742	0.000813802	0.001017253
step17	1.81222	0.015999012	0.011968254	0.015075684	0.000284831	0.000142415	0.015075684	0.000590007	0.001118978
step18	2.17467	0.010075394	0.007237416	0.00958252	0.000427246	0.000305176	0.00970459	0.000630697	0.000467936
step19	2.53696	0.005019059	0.003386918	0.004821777	0.000549316	0.001037598	0.004821777	0.000366211	0.000244141
step20	2.8937	0.001738593	0.001174907	0.001708984	0.000223796	0.000203451	0.001647949	0.000793457	0.000732422
step21	3.20499	0.000424963	0.000428762	0.000488281	0.000956217	0.001118978	0.000427246	0.000996908	0.001322428
step22	3.55818	5.78876E-05	0.000152241	6.10352E-05	0.000284831	0.000386556	6.10352E-05	6.10352E-05	6.10352E-05
step23	3.91991	1.08961E-07	-4.55997E-07	6.10352E-05	0.000101725	8.13802E-05	0	0.000874837	0.000651042
