Error	Name													
43.15185547	1-UpCCGSD													
42.84667969	1-UpCCGSD													
41.80908203	1-UpCCGSD													
41.93115234	1-UpCCGSD													
40.83251953	1-UpCCGSD													
40.10009766	1-UpCCGSD													
38.94042969	1-UpCCGSD													
39.61181641	1-UpCCGSD													
38.63525391	1-UpCCGSD													
39.73388672	1-UpCCGSD													
39.0625	1-UpCCGSD													
39.48974609	1-UpCCGSD													
38.51318359	1-UpCCGSD													
38.87939453	1-UpCCGSD													
39.42871094	1-UpCCGSD													
38.51318359	1-UpCCGSD													
40.16113281	1-UpCCGSD													
39.30664063	1-UpCCGSD													
41.74804688	1-UpCCGSD													
41.93115234	1-UpCCGSD													
41.32080078	1-UpCCGSD													
42.60253906	1-UpCCGSD													
42.48046875	1-UpCCGSD													
42.66357422	1-UpCCGSD													
43.15185547	1-UpCCGSD													
42.78564453	1-UpCCGSD													
42.66357422	1-UpCCGSD													
41.13769531	1-UpCCGSD													
40.77148438	1-UpCCGSD													
38.81835938	1-UpCCGSD													
39.67285156	1-UpCCGSD													
38.45214844	1-UpCCGSD													
38.81835938	1-UpCCGSD													
39.18457031	1-UpCCGSD													
38.87939453	1-UpCCGSD													
38.33007813	1-UpCCGSD													
40.0390625	1-UpCCGSD													
39.36767578	1-UpCCGSD													
39.30664063	1-UpCCGSD													
39.24560547	1-UpCCGSD													
39.00146484	1-UpCCGSD													
41.19873047	1-UpCCGSD													
41.62597656	1-UpCCGSD													
42.11425781	1-UpCCGSD													
42.60253906	1-UpCCGSD													
42.11425781	1-UpCCGSD													
43.33496094	1-UpCCGSD													
42.17529297	1-UpCCGSD													
42.41943359	1-UpCCGSD													
41.74804688	1-UpCCGSD													
41.9921875	1-UpCCGSD													
39.73388672	1-UpCCGSD													
39.91699219	1-UpCCGSD													
38.39111328	1-UpCCGSD													
39.67285156	1-UpCCGSD													
39.30664063	1-UpCCGSD													
39.42871094	1-UpCCGSD													
38.63525391	1-UpCCGSD													
39.48974609	1-UpCCGSD													
39.12353516	1-UpCCGSD													
38.87939453	1-UpCCGSD													
39.00146484	1-UpCCGSD													
39.91699219	1-UpCCGSD													
40.22216797	1-UpCCGSD													
40.34423828	1-UpCCGSD													
42.54150391	1-UpCCGSD													
43.57910156	1-UpCCGSD													
43.45703125	1-UpCCGSD													
42.60253906	1-UpCCGSD													
43.02978516	2-UpCCGSD													
42.05322266	2-UpCCGSD													
41.50390625	2-UpCCGSD													
41.44287109	2-UpCCGSD													
41.13769531	2-UpCCGSD													
40.58837891	2-UpCCGSD													
39.42871094	2-UpCCGSD													
39.30664063	2-UpCCGSD													
39.79492188	2-UpCCGSD													
39.00146484	2-UpCCGSD													
39.61181641	2-UpCCGSD													
38.87939453	2-UpCCGSD													
39.61181641	2-UpCCGSD													
39.42871094	2-UpCCGSD													
39.18457031	2-UpCCGSD													
39.18457031	2-UpCCGSD													
39.30664063	2-UpCCGSD													
40.34423828	2-UpCCGSD													
40.58837891	2-UpCCGSD													
42.29736328	2-UpCCGSD													
42.60253906	2-UpCCGSD													
42.48046875	2-UpCCGSD													
43.82324219	2-UpCCGSD													
43.39599609	2-UpCCGSD													
42.23632813	2-UpCCGSD													
41.19873047	2-UpCCGSD													
43.02978516	2-UpCCGSD													
40.77148438	2-UpCCGSD													
39.24560547	2-UpCCGSD													
38.57421875	2-UpCCGSD													
38.94042969	2-UpCCGSD													
38.81835938	2-UpCCGSD													
38.69628906	2-UpCCGSD													
39.97802734	2-UpCCGSD													
39.0625	2-UpCCGSD													
38.51318359	2-UpCCGSD													
38.87939453	2-UpCCGSD													
38.63525391	2-UpCCGSD													
39.97802734	2-UpCCGSD													
39.85595703	2-UpCCGSD													
39.85595703	2-UpCCGSD													
41.38183594	2-UpCCGSD													
41.80908203	2-UpCCGSD													
41.74804688	2-UpCCGSD													
42.84667969	2-UpCCGSD													
42.96875	2-UpCCGSD													
43.9453125	2-UpCCGSD													
42.78564453	2-UpCCGSD													
42.41943359	2-UpCCGSD													
41.87011719	2-UpCCGSD													
40.0390625	2-UpCCGSD													
40.89355469	2-UpCCGSD													
40.40527344	2-UpCCGSD													
39.24560547	2-UpCCGSD													
38.81835938	2-UpCCGSD													
39.48974609	2-UpCCGSD													
39.36767578	2-UpCCGSD													
38.14697266	2-UpCCGSD													
38.51318359	2-UpCCGSD													
39.73388672	2-UpCCGSD													
39.73388672	2-UpCCGSD													
39.24560547	2-UpCCGSD													
39.61181641	2-UpCCGSD													
39.67285156	2-UpCCGSD													
42.66357422	2-UpCCGSD													
43.57910156	2-UpCCGSD													
43.45703125	2-UpCCGSD													
42.84667969	2-UpCCGSD													
43.45703125	2-UpCCGSD													
42.90771484	3-UpCCGSD													
